timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:21:08.886, NVIDIA RTX A6000, 100 %, 39 %, 49140 MiB, 43377 MiB, 5296 MiB
2024/10/01 15:21:08.986, NVIDIA RTX A6000, 100 %, 39 %, 49140 MiB, 43211 MiB, 5462 MiB
2024/10/01 15:21:09.086, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42585 MiB, 6088 MiB
2024/10/01 15:21:09.187, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42281 MiB, 6392 MiB
2024/10/01 15:21:09.287, NVIDIA RTX A6000, 36 %, 10 %, 49140 MiB, 42867 MiB, 5806 MiB
2024/10/01 15:21:09.387, NVIDIA RTX A6000, 36 %, 10 %, 49140 MiB, 42563 MiB, 6110 MiB
2024/10/01 15:21:09.487, NVIDIA RTX A6000, 58 %, 15 %, 49140 MiB, 42317 MiB, 6356 MiB
2024/10/01 15:21:09.587, NVIDIA RTX A6000, 58 %, 15 %, 49140 MiB, 42213 MiB, 6460 MiB
2024/10/01 15:21:09.688, NVIDIA RTX A6000, 31 %, 4 %, 49140 MiB, 41981 MiB, 6692 MiB
2024/10/01 15:21:09.788, NVIDIA RTX A6000, 31 %, 4 %, 49140 MiB, 42543 MiB, 6130 MiB
2024/10/01 15:21:09.888, NVIDIA RTX A6000, 41 %, 3 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:21:09.988, NVIDIA RTX A6000, 41 %, 3 %, 49140 MiB, 48303 MiB, 370 MiB
2024/10/01 15:21:10.088, NVIDIA RTX A6000, 51 %, 4 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.188, NVIDIA RTX A6000, 51 %, 4 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.289, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.389, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.489, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.589, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.689, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.789, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.889, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:10.990, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 45179 MiB, 3494 MiB
2024/10/01 15:21:11.091, NVIDIA RTX A6000, 19 %, 8 %, 49140 MiB, 34725 MiB, 13948 MiB
2024/10/01 15:21:11.192, NVIDIA RTX A6000, 19 %, 8 %, 49140 MiB, 35661 MiB, 13012 MiB
2024/10/01 15:21:11.292, NVIDIA RTX A6000, 96 %, 32 %, 49140 MiB, 44453 MiB, 4220 MiB
2024/10/01 15:21:11.392, NVIDIA RTX A6000, 96 %, 32 %, 49140 MiB, 43555 MiB, 5118 MiB
2024/10/01 15:21:11.492, NVIDIA RTX A6000, 100 %, 39 %, 49140 MiB, 43367 MiB, 5306 MiB
2024/10/01 15:21:11.592, NVIDIA RTX A6000, 100 %, 39 %, 49140 MiB, 43195 MiB, 5478 MiB
2024/10/01 15:21:11.692, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42525 MiB, 6148 MiB
2024/10/01 15:21:11.792, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 43121 MiB, 5552 MiB
2024/10/01 15:21:11.893, NVIDIA RTX A6000, 37 %, 10 %, 49140 MiB, 42843 MiB, 5830 MiB
2024/10/01 15:21:11.993, NVIDIA RTX A6000, 37 %, 10 %, 49140 MiB, 42533 MiB, 6140 MiB
2024/10/01 15:21:12.093, NVIDIA RTX A6000, 59 %, 15 %, 49140 MiB, 42297 MiB, 6376 MiB
2024/10/01 15:21:12.193, NVIDIA RTX A6000, 59 %, 15 %, 49140 MiB, 42179 MiB, 6494 MiB
2024/10/01 15:21:12.294, NVIDIA RTX A6000, 31 %, 4 %, 49140 MiB, 41973 MiB, 6700 MiB
2024/10/01 15:21:12.394, NVIDIA RTX A6000, 31 %, 4 %, 49140 MiB, 43923 MiB, 4750 MiB
2024/10/01 15:21:12.494, NVIDIA RTX A6000, 42 %, 3 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:21:12.595, NVIDIA RTX A6000, 42 %, 3 %, 49140 MiB, 47031 MiB, 1642 MiB
2024/10/01 15:21:12.695, NVIDIA RTX A6000, 42 %, 3 %, 49140 MiB, 46787 MiB, 1886 MiB
